year,p5,p25,median,p75,p95,mean,n_pixels
2015,31.814,33.4,34.627,36.034,38.898,34.871,4872974
2016,27.929,32.088,34.567,37.136,40.681,34.526,4354073
2017,29.251,31.189,32.946,34.559,36.389,32.892,4872979
2018,31.919,34.128,36.041,38.204,41.58,36.285,4827786
2019,27.839,31.204,33.079,34.921,37.876,32.97,4722967
2020,32.441,34.029,35.256,36.576,38.912,35.412,4872976
2021,33.055,35.415,37.29,39.43,43.087,37.567,4756451
2022,30.601,32.888,34.446,36.07,39.043,34.573,4869512
2023,33.557,35.442,36.649,37.997,41.192,36.893,4866575
2024,31.631,33.26,34.608,36.217,38.9,34.852,4826120
2025,32.224,34.34,36.08,38.016,41.157,36.294,4857732
